run_id,scenario,heldout_class,model,model_family,seed,status
CS-RF-S42,closed_set,,random_forest,supervised,42,planned
CS-RF-S52,closed_set,,random_forest,supervised,52,planned
CS-RF-S62,closed_set,,random_forest,supervised,62,planned
CS-RF-S72,closed_set,,random_forest,supervised,72,planned
CS-RF-S82,closed_set,,random_forest,supervised,82,planned
CS-XGB-S42,closed_set,,xgboost,supervised,42,planned
CS-XGB-S52,closed_set,,xgboost,supervised,52,planned
CS-XGB-S62,closed_set,,xgboost,supervised,62,planned
CS-XGB-S72,closed_set,,xgboost,supervised,72,planned
CS-XGB-S82,closed_set,,xgboost,supervised,82,planned
CS-IF-S42,closed_set,,isolation_forest,anomaly,42,planned
CS-IF-S52,closed_set,,isolation_forest,anomaly,52,planned
CS-IF-S62,closed_set,,isolation_forest,anomaly,62,planned
CS-IF-S72,closed_set,,isolation_forest,anomaly,72,planned
CS-IF-S82,closed_set,,isolation_forest,anomaly,82,planned
CS-AE-S42,closed_set,,autoencoder,anomaly,42,planned
CS-AE-S52,closed_set,,autoencoder,anomaly,52,planned
CS-AE-S62,closed_set,,autoencoder,anomaly,62,planned
CS-AE-S72,closed_set,,autoencoder,anomaly,72,planned
CS-AE-S82,closed_set,,autoencoder,anomaly,82,planned
LR-RF-S42,loaco_reconnaissance,Reconnaissance,random_forest,supervised,42,planned
LR-RF-S52,loaco_reconnaissance,Reconnaissance,random_forest,supervised,52,planned
LR-RF-S62,loaco_reconnaissance,Reconnaissance,random_forest,supervised,62,planned
LR-RF-S72,loaco_reconnaissance,Reconnaissance,random_forest,supervised,72,planned
LR-RF-S82,loaco_reconnaissance,Reconnaissance,random_forest,supervised,82,planned
LR-XGB-S42,loaco_reconnaissance,Reconnaissance,xgboost,supervised,42,planned
LR-XGB-S52,loaco_reconnaissance,Reconnaissance,xgboost,supervised,52,planned
LR-XGB-S62,loaco_reconnaissance,Reconnaissance,xgboost,supervised,62,planned
LR-XGB-S72,loaco_reconnaissance,Reconnaissance,xgboost,supervised,72,planned
LR-XGB-S82,loaco_reconnaissance,Reconnaissance,xgboost,supervised,82,planned
LR-IF-S42,loaco_reconnaissance,Reconnaissance,isolation_forest,anomaly,42,planned
LR-IF-S52,loaco_reconnaissance,Reconnaissance,isolation_forest,anomaly,52,planned
LR-IF-S62,loaco_reconnaissance,Reconnaissance,isolation_forest,anomaly,62,planned
LR-IF-S72,loaco_reconnaissance,Reconnaissance,isolation_forest,anomaly,72,planned
LR-IF-S82,loaco_reconnaissance,Reconnaissance,isolation_forest,anomaly,82,planned
LR-AE-S42,loaco_reconnaissance,Reconnaissance,autoencoder,anomaly,42,planned
LR-AE-S52,loaco_reconnaissance,Reconnaissance,autoencoder,anomaly,52,planned
LR-AE-S62,loaco_reconnaissance,Reconnaissance,autoencoder,anomaly,62,planned
LR-AE-S72,loaco_reconnaissance,Reconnaissance,autoencoder,anomaly,72,planned
LR-AE-S82,loaco_reconnaissance,Reconnaissance,autoencoder,anomaly,82,planned
LD-RF-S42,loaco_dos,DoS,random_forest,supervised,42,planned
LD-RF-S52,loaco_dos,DoS,random_forest,supervised,52,planned
LD-RF-S62,loaco_dos,DoS,random_forest,supervised,62,planned
LD-RF-S72,loaco_dos,DoS,random_forest,supervised,72,planned
LD-RF-S82,loaco_dos,DoS,random_forest,supervised,82,planned
LD-XGB-S42,loaco_dos,DoS,xgboost,supervised,42,planned
LD-XGB-S52,loaco_dos,DoS,xgboost,supervised,52,planned
LD-XGB-S62,loaco_dos,DoS,xgboost,supervised,62,planned
LD-XGB-S72,loaco_dos,DoS,xgboost,supervised,72,planned
LD-XGB-S82,loaco_dos,DoS,xgboost,supervised,82,planned
LD-IF-S42,loaco_dos,DoS,isolation_forest,anomaly,42,planned
LD-IF-S52,loaco_dos,DoS,isolation_forest,anomaly,52,planned
LD-IF-S62,loaco_dos,DoS,isolation_forest,anomaly,62,planned
LD-IF-S72,loaco_dos,DoS,isolation_forest,anomaly,72,planned
LD-IF-S82,loaco_dos,DoS,isolation_forest,anomaly,82,planned
LD-AE-S42,loaco_dos,DoS,autoencoder,anomaly,42,planned
LD-AE-S52,loaco_dos,DoS,autoencoder,anomaly,52,planned
LD-AE-S62,loaco_dos,DoS,autoencoder,anomaly,62,planned
LD-AE-S72,loaco_dos,DoS,autoencoder,anomaly,72,planned
LD-AE-S82,loaco_dos,DoS,autoencoder,anomaly,82,planned
LE-RF-S42,loaco_exploits,Exploits,random_forest,supervised,42,planned
LE-RF-S52,loaco_exploits,Exploits,random_forest,supervised,52,planned
LE-RF-S62,loaco_exploits,Exploits,random_forest,supervised,62,planned
LE-RF-S72,loaco_exploits,Exploits,random_forest,supervised,72,planned
LE-RF-S82,loaco_exploits,Exploits,random_forest,supervised,82,planned
LE-XGB-S42,loaco_exploits,Exploits,xgboost,supervised,42,planned
LE-XGB-S52,loaco_exploits,Exploits,xgboost,supervised,52,planned
LE-XGB-S62,loaco_exploits,Exploits,xgboost,supervised,62,planned
LE-XGB-S72,loaco_exploits,Exploits,xgboost,supervised,72,planned
LE-XGB-S82,loaco_exploits,Exploits,xgboost,supervised,82,planned
LE-IF-S42,loaco_exploits,Exploits,isolation_forest,anomaly,42,planned
LE-IF-S52,loaco_exploits,Exploits,isolation_forest,anomaly,52,planned
LE-IF-S62,loaco_exploits,Exploits,isolation_forest,anomaly,62,planned
LE-IF-S72,loaco_exploits,Exploits,isolation_forest,anomaly,72,planned
LE-IF-S82,loaco_exploits,Exploits,isolation_forest,anomaly,82,planned
LE-AE-S42,loaco_exploits,Exploits,autoencoder,anomaly,42,planned
LE-AE-S52,loaco_exploits,Exploits,autoencoder,anomaly,52,planned
LE-AE-S62,loaco_exploits,Exploits,autoencoder,anomaly,62,planned
LE-AE-S72,loaco_exploits,Exploits,autoencoder,anomaly,72,planned
LE-AE-S82,loaco_exploits,Exploits,autoencoder,anomaly,82,planned
